ID,delinquent,Sdelinquent,term,gender,age,FICO
213,No,0,36 months,Male,20-25,300-500
214,No,0,36 months,Male,20-25,300-500
215,No,0,36 months,Male,20-25,300-500
216,No,0,36 months,Male,20-25,300-500
217,No,0,36 months,Male,20-25,300-500
218,No,0,36 months,Male,20-25,300-500
219,No,0,36 months,Male,20-25,300-500
220,No,0,36 months,Male,20-25,300-500
221,No,0,36 months,Male,20-25,300-500
222,No,0,36 months,Male,20-25,300-500
223,No,0,36 months,Male,20-25,300-500
224,No,0,36 months,Male,20-25,300-500
225,No,0,36 months,Male,20-25,300-500
226,No,0,36 months,Male,20-25,300-500
227,No,0,36 months,Male,20-25,300-500
228,No,0,36 months,Male,20-25,300-500
229,No,0,36 months,Male,20-25,300-500
230,No,0,36 months,Male,20-25,300-500
231,No,0,36 months,Male,20-25,300-500
232,No,0,36 months,Male,20-25,300-500
233,No,0,36 months,Male,20-25,300-500
234,No,0,36 months,Male,20-25,300-500
235,No,0,36 months,Male,20-25,300-500
236,No,0,36 months,Male,20-25,300-500
237,No,0,36 months,Male,20-25,300-500
238,No,0,36 months,Male,20-25,300-500
239,No,0,36 months,Male,20-25,300-500
240,No,0,36 months,Male,20-25,300-500
241,No,0,36 months,Male,20-25,300-500
242,No,0,36 months,Male,20-25,300-500
243,No,0,36 months,Male,20-25,300-500
244,No,0,36 months,Male,20-25,300-500
245,No,0,36 months,Male,20-25,300-500
246,No,0,36 months,Male,20-25,300-500
247,No,0,36 months,Male,20-25,300-500
248,No,0,36 months,Male,20-25,300-500
249,No,0,36 months,Male,20-25,300-500
250,No,0,36 months,Male,20-25,300-500
251,No,0,36 months,Male,20-25,300-500
252,No,0,36 months,Male,20-25,300-500
253,No,0,36 months,Male,20-25,300-500
254,No,0,36 months,Male,20-25,300-500
255,No,0,36 months,Male,20-25,300-500
256,No,0,36 months,Male,20-25,300-500
257,No,0,36 months,Male,20-25,300-500
258,No,0,36 months,Male,20-25,300-500
259,No,0,36 months,Male,20-25,300-500
260,No,0,36 months,Male,20-25,300-500
261,No,0,36 months,Male,20-25,300-500
262,No,0,36 months,Male,20-25,300-500
263,No,0,36 months,Male,20-25,300-500
264,No,0,36 months,Male,20-25,300-500
265,No,0,36 months,Male,20-25,300-500
266,No,0,36 months,Male,20-25,300-500
267,No,0,36 months,Male,20-25,300-500
268,No,0,36 months,Male,20-25,300-500
269,No,0,36 months,Male,20-25,300-500
270,No,0,36 months,Male,20-25,300-500
271,No,0,36 months,Male,20-25,300-500
272,No,0,36 months,Male,20-25,300-500
273,No,0,36 months,Male,20-25,300-500
274,No,0,36 months,Male,20-25,300-500
275,No,0,36 months,Male,20-25,300-500
276,No,0,36 months,Male,20-25,300-500
277,No,0,36 months,Male,20-25,300-500
278,No,0,36 months,Male,20-25,300-500
279,No,0,36 months,Male,20-25,300-500
280,No,0,36 months,Male,20-25,300-500
281,No,0,36 months,Male,20-25,300-500
282,No,0,36 months,Male,20-25,300-500
283,No,0,36 months,Male,20-25,300-500
284,No,0,36 months,Male,20-25,300-500
285,No,0,36 months,Male,20-25,300-500
286,No,0,36 months,Male,20-25,300-500
287,No,0,36 months,Male,20-25,300-500
288,No,0,36 months,Male,20-25,300-500
289,No,0,36 months,Male,20-25,300-500
290,No,0,36 months,Male,20-25,300-500
291,No,0,36 months,Male,20-25,300-500
292,No,0,36 months,Male,20-25,300-500
293,No,0,36 months,Male,20-25,300-500
294,No,0,36 months,Male,20-25,300-500
295,No,0,36 months,Male,20-25,300-500
296,No,0,36 months,Male,20-25,300-500
297,No,0,36 months,Male,20-25,300-500
298,No,0,36 months,Male,20-25,300-500
299,No,0,36 months,Male,20-25,300-500
300,No,0,36 months,Male,20-25,300-500
301,No,0,36 months,Male,20-25,300-500
302,No,0,36 months,Male,20-25,300-500
303,No,0,36 months,Male,20-25,300-500
304,No,0,36 months,Male,20-25,300-500
305,No,0,36 months,Male,20-25,300-500
306,No,0,36 months,Male,20-25,300-500
307,No,0,36 months,Male,20-25,300-500
308,No,0,36 months,Male,20-25,300-500
309,No,0,36 months,Male,20-25,300-500
310,No,0,36 months,Male,20-25,300-500
311,No,0,36 months,Male,20-25,300-500
312,No,0,36 months,Male,20-25,300-500
313,No,0,36 months,Male,20-25,300-500
314,No,0,36 months,Male,20-25,300-500
315,No,0,36 months,Male,20-25,300-500
316,No,0,36 months,Male,20-25,300-500
317,No,0,36 months,Male,20-25,300-500
318,No,0,36 months,Male,20-25,300-500
319,No,0,36 months,Male,20-25,300-500
320,No,0,36 months,Male,20-25,300-500
321,No,0,36 months,Male,20-25,300-500
322,No,0,36 months,Male,20-25,300-500
323,No,0,36 months,Male,20-25,300-500
324,No,0,36 months,Male,20-25,300-500
325,No,0,36 months,Male,20-25,300-500
326,No,0,36 months,Male,20-25,300-500
327,No,0,36 months,Male,20-25,300-500
328,No,0,36 months,Male,20-25,300-500
329,No,0,36 months,Male,20-25,300-500
330,No,0,36 months,Male,20-25,300-500
331,No,0,36 months,Male,20-25,300-500
332,No,0,36 months,Male,20-25,300-500
333,No,0,36 months,Male,20-25,300-500
334,No,0,36 months,Male,20-25,300-500
335,No,0,36 months,Male,20-25,300-500
336,No,0,36 months,Male,20-25,300-500
337,No,0,36 months,Male,20-25,300-500
338,No,0,36 months,Male,20-25,300-500
339,No,0,36 months,Male,20-25,300-500
340,No,0,36 months,Male,20-25,300-500
341,No,0,36 months,Male,20-25,300-500
342,No,0,36 months,Male,20-25,300-500
343,No,0,36 months,Male,20-25,300-500
344,No,0,36 months,Male,20-25,300-500
345,No,0,36 months,Male,20-25,300-500
346,No,0,36 months,Male,20-25,300-500
347,No,0,36 months,Male,20-25,300-500
348,No,0,36 months,Male,20-25,300-500
349,No,0,36 months,Male,20-25,300-500
350,No,0,36 months,Male,20-25,300-500
351,No,0,36 months,Male,20-25,300-500
352,No,0,36 months,Male,20-25,300-500
353,No,0,36 months,Male,20-25,300-500
354,No,0,36 months,Male,20-25,300-500
355,No,0,36 months,Male,20-25,300-500
356,No,0,36 months,Male,20-25,300-500
357,No,0,36 months,Male,20-25,300-500
358,No,0,36 months,Male,20-25,300-500
359,No,0,36 months,Male,20-25,300-500
360,No,0,36 months,Male,20-25,300-500
361,No,0,36 months,Male,20-25,300-500
362,No,0,36 months,Male,20-25,300-500
363,No,0,36 months,Male,20-25,300-500
364,No,0,36 months,Male,20-25,300-500
365,No,0,36 months,Male,20-25,300-500
366,No,0,36 months,Male,20-25,300-500
367,No,0,36 months,Male,20-25,300-500
368,No,0,36 months,Male,20-25,300-500
369,No,0,36 months,Male,20-25,300-500
370,No,0,36 months,Male,20-25,300-500
371,No,0,36 months,Male,20-25,300-500
372,No,0,36 months,Male,20-25,300-500
373,No,0,36 months,Male,20-25,300-500
374,No,0,36 months,Male,20-25,300-500
375,No,0,36 months,Male,20-25,300-500
376,No,0,36 months,Male,20-25,300-500
377,No,0,36 months,Male,20-25,300-500
378,No,0,36 months,Male,20-25,300-500
379,No,0,36 months,Male,20-25,300-500
380,No,0,36 months,Male,20-25,300-500
381,No,0,36 months,Male,20-25,300-500
382,No,0,36 months,Male,20-25,300-500
383,No,0,36 months,Male,20-25,300-500
384,No,0,36 months,Male,20-25,300-500
385,No,0,36 months,Male,20-25,300-500
386,No,0,36 months,Male,20-25,300-500
387,No,0,36 months,Male,20-25,300-500
388,No,0,36 months,Male,20-25,300-500
389,No,0,36 months,Male,20-25,300-500
390,No,0,36 months,Male,20-25,300-500
391,No,0,36 months,Male,20-25,300-500
392,No,0,36 months,Male,20-25,300-500
393,No,0,36 months,Male,20-25,300-500
394,No,0,36 months,Male,20-25,300-500
395,No,0,36 months,Male,20-25,300-500
396,No,0,36 months,Male,20-25,300-500
397,No,0,36 months,Male,20-25,300-500
398,No,0,36 months,Male,20-25,300-500
399,No,0,36 months,Male,20-25,300-500
400,No,0,36 months,Male,20-25,300-500
401,No,0,36 months,Male,20-25,300-500
402,No,0,36 months,Male,20-25,300-500
403,No,0,36 months,Male,20-25,300-500
404,No,0,36 months,Male,20-25,300-500
405,No,0,36 months,Male,20-25,300-500
406,No,0,36 months,Male,20-25,300-500
407,No,0,36 months,Male,20-25,300-500
408,No,0,36 months,Male,20-25,300-500
409,No,0,36 months,Male,20-25,300-500
410,No,0,36 months,Male,20-25,300-500
411,No,0,36 months,Male,20-25,300-500
412,No,0,36 months,Male,20-25,300-500
413,No,0,36 months,Male,20-25,300-500
414,No,0,36 months,Male,20-25,300-500
415,No,0,36 months,Male,20-25,300-500
416,No,0,36 months,Male,20-25,300-500
417,No,0,36 months,Male,20-25,300-500
418,No,0,36 months,Male,20-25,300-500
419,No,0,36 months,Male,20-25,300-500
420,No,0,36 months,Male,20-25,300-500
421,No,0,36 months,Male,20-25,300-500
422,No,0,36 months,Male,20-25,300-500
423,No,0,36 months,Male,20-25,300-500
424,No,0,36 months,Male,20-25,300-500
425,No,0,36 months,Male,20-25,300-500
426,No,0,36 months,Male,20-25,300-500
427,No,0,36 months,Male,20-25,300-500
428,No,0,36 months,Male,20-25,300-500
429,No,0,36 months,Male,20-25,300-500
430,No,0,36 months,Male,20-25,300-500
431,No,0,36 months,Male,20-25,300-500
432,No,0,36 months,Male,20-25,300-500
433,No,0,36 months,Male,20-25,300-500
434,No,0,36 months,Male,20-25,300-500
435,No,0,36 months,Male,20-25,300-500
436,No,0,36 months,Male,20-25,300-500
437,No,0,36 months,Male,20-25,300-500
438,No,0,36 months,Male,20-25,300-500
439,No,0,36 months,Male,20-25,300-500
440,No,0,36 months,Male,20-25,300-500
441,No,0,36 months,Male,20-25,300-500
442,No,0,36 months,Male,20-25,300-500
443,No,0,36 months,Male,20-25,300-500
444,No,0,36 months,Male,20-25,300-500
445,No,0,36 months,Male,20-25,300-500
446,No,0,36 months,Male,20-25,300-500
447,No,0,36 months,Male,20-25,300-500
448,No,0,36 months,Male,20-25,300-500
449,No,0,36 months,Male,20-25,300-500
450,No,0,36 months,Male,20-25,300-500
451,No,0,36 months,Male,20-25,300-500
452,No,0,36 months,Male,20-25,300-500
453,No,0,36 months,Male,20-25,300-500
454,No,0,36 months,Male,20-25,300-500
455,No,0,36 months,Male,20-25,300-500
456,No,0,36 months,Male,20-25,300-500
457,No,0,36 months,Male,20-25,300-500
458,No,0,36 months,Male,20-25,300-500
459,No,0,36 months,Male,20-25,300-500
460,No,0,36 months,Male,20-25,300-500
461,No,0,36 months,Male,20-25,300-500
462,No,0,36 months,Male,20-25,300-500
463,No,0,36 months,Male,20-25,300-500
464,No,0,36 months,Male,20-25,300-500
465,No,0,36 months,Male,20-25,300-500
466,No,0,36 months,Male,20-25,300-500
467,No,0,36 months,Male,20-25,300-500
468,No,0,36 months,Male,20-25,300-500
469,No,0,36 months,Male,20-25,300-500
470,No,0,36 months,Male,20-25,300-500
471,No,0,36 months,Male,20-25,300-500
472,No,0,36 months,Male,20-25,300-500
473,No,0,36 months,Male,20-25,300-500
474,No,0,36 months,Male,20-25,300-500
475,No,0,36 months,Male,20-25,300-500
476,No,0,36 months,Male,20-25,300-500
477,No,0,36 months,Male,20-25,300-500
478,No,0,36 months,Male,20-25,300-500
479,No,0,36 months,Male,20-25,300-500
480,No,0,36 months,Male,20-25,300-500
481,No,0,36 months,Male,20-25,300-500
482,No,0,36 months,Male,20-25,300-500
483,No,0,36 months,Male,20-25,300-500
484,No,0,36 months,Male,20-25,300-500
485,No,0,36 months,Male,20-25,300-500
486,No,0,36 months,Male,20-25,300-500
487,No,0,36 months,Male,20-25,300-500
488,No,0,36 months,Male,20-25,300-500
489,No,0,36 months,Male,20-25,300-500
490,No,0,36 months,Male,20-25,300-500
491,No,0,36 months,Male,20-25,300-500
492,No,0,36 months,Male,20-25,300-500
493,No,0,36 months,Male,20-25,300-500
494,No,0,36 months,Male,20-25,300-500
495,No,0,36 months,Male,20-25,300-500
496,No,0,36 months,Male,20-25,300-500
497,No,0,36 months,Male,20-25,300-500
498,No,0,36 months,Male,20-25,300-500
499,No,0,36 months,Male,20-25,300-500
500,No,0,36 months,Male,20-25,300-500
501,No,0,36 months,Male,20-25,300-500
502,No,0,36 months,Male,20-25,300-500
503,No,0,36 months,Male,20-25,300-500
504,No,0,36 months,Male,20-25,300-500
505,No,0,36 months,Male,20-25,300-500
506,No,0,36 months,Male,20-25,300-500
507,No,0,36 months,Male,20-25,300-500
508,No,0,36 months,Male,20-25,300-500
509,No,0,36 months,Male,20-25,300-500
510,No,0,36 months,Male,20-25,300-500
511,No,0,36 months,Male,20-25,300-500
512,No,0,36 months,Male,20-25,300-500
513,No,0,36 months,Male,20-25,300-500
514,No,0,36 months,Male,20-25,300-500
515,No,0,36 months,Male,20-25,300-500
516,No,0,36 months,Male,20-25,300-500
517,No,0,36 months,Male,20-25,300-500
518,No,0,36 months,Male,20-25,300-500
519,No,0,36 months,Male,20-25,300-500
520,No,0,36 months,Male,20-25,300-500
521,No,0,36 months,Male,20-25,300-500
522,No,0,36 months,Male,20-25,300-500
523,No,0,36 months,Male,20-25,300-500
524,No,0,36 months,Male,20-25,300-500
525,No,0,36 months,Male,20-25,300-500
526,No,0,36 months,Male,20-25,300-500
527,No,0,36 months,Male,20-25,300-500
528,No,0,36 months,Male,20-25,300-500
529,No,0,36 months,Male,20-25,300-500
530,No,0,36 months,Male,20-25,300-500
531,No,0,36 months,Male,20-25,300-500
532,No,0,36 months,Male,20-25,300-500
533,No,0,36 months,Male,20-25,300-500
534,No,0,36 months,Male,20-25,300-500
535,No,0,36 months,Male,20-25,300-500
536,No,0,36 months,Male,20-25,300-500
537,No,0,36 months,Male,20-25,300-500
538,No,0,36 months,Male,20-25,300-500
539,No,0,36 months,Male,20-25,300-500
540,No,0,36 months,Male,20-25,300-500
541,No,0,36 months,Male,20-25,300-500
542,No,0,36 months,Male,20-25,300-500
543,No,0,36 months,Male,20-25,300-500
544,No,0,36 months,Male,20-25,300-500
545,No,0,36 months,Male,20-25,300-500
546,No,0,36 months,Male,20-25,300-500
547,No,0,36 months,Male,20-25,300-500
548,No,0,36 months,Male,20-25,300-500
549,No,0,36 months,Male,20-25,300-500
550,No,0,36 months,Male,20-25,300-500
551,No,0,36 months,Male,20-25,300-500
552,No,0,36 months,Male,20-25,300-500
553,No,0,36 months,Male,20-25,300-500
554,No,0,36 months,Male,20-25,300-500
555,No,0,36 months,Male,20-25,300-500
556,No,0,36 months,Male,20-25,300-500
557,No,0,36 months,Male,20-25,300-500
558,No,0,36 months,Male,20-25,300-500
559,No,0,36 months,Male,20-25,300-500
560,No,0,36 months,Male,20-25,300-500
561,No,0,36 months,Male,20-25,300-500
562,No,0,36 months,Male,20-25,300-500
563,No,0,36 months,Male,20-25,300-500
564,No,0,36 months,Male,20-25,300-500
565,No,0,36 months,Male,20-25,300-500
566,No,0,36 months,Male,20-25,300-500
567,No,0,36 months,Male,20-25,300-500
568,No,0,36 months,Male,20-25,300-500
569,No,0,36 months,Male,20-25,300-500
570,No,0,36 months,Male,20-25,300-500
571,No,0,36 months,Male,20-25,300-500
572,No,0,36 months,Male,20-25,300-500
573,No,0,36 months,Male,20-25,300-500
574,No,0,36 months,Male,20-25,300-500
575,No,0,36 months,Male,20-25,300-500
576,No,0,36 months,Male,20-25,300-500
577,No,0,36 months,Male,20-25,300-500
578,No,0,36 months,Male,20-25,300-500
579,No,0,36 months,Male,20-25,300-500
580,No,0,36 months,Male,20-25,300-500
581,No,0,36 months,Male,20-25,300-500
582,No,0,36 months,Male,20-25,300-500
583,No,0,36 months,Male,20-25,300-500
584,No,0,36 months,Male,20-25,300-500
585,No,0,36 months,Male,20-25,300-500
586,No,0,36 months,Male,20-25,300-500
587,No,0,36 months,Male,20-25,300-500
588,No,0,36 months,Male,20-25,300-500
589,No,0,36 months,Male,20-25,300-500
590,No,0,36 months,Male,20-25,300-500
591,No,0,36 months,Male,20-25,300-500
592,No,0,36 months,Male,20-25,300-500
593,No,0,36 months,Male,20-25,300-500
594,No,0,36 months,Male,20-25,300-500
595,No,0,36 months,Male,20-25,300-500
596,No,0,36 months,Male,20-25,300-500
597,No,0,36 months,Male,20-25,300-500
598,No,0,36 months,Male,20-25,300-500
599,No,0,36 months,Male,20-25,300-500
600,No,0,36 months,Male,20-25,300-500
601,Yes,1,36 months,Male,20-25,300-500
602,Yes,1,36 months,Male,20-25,300-500
603,Yes,1,36 months,Male,20-25,300-500
604,Yes,1,36 months,Male,20-25,300-500
605,Yes,1,36 months,Male,20-25,300-500
606,Yes,1,36 months,Male,20-25,300-500
607,Yes,1,36 months,Male,20-25,300-500
608,Yes,1,36 months,Male,20-25,300-500
609,Yes,1,36 months,Male,20-25,300-500
610,Yes,1,36 months,Male,20-25,300-500
611,Yes,1,36 months,Male,20-25,300-500
612,Yes,1,36 months,Male,20-25,300-500
613,Yes,1,36 months,Male,20-25,300-500
614,Yes,1,36 months,Male,20-25,300-500
615,Yes,1,36 months,Male,20-25,300-500
616,Yes,1,36 months,Male,20-25,300-500
617,Yes,1,36 months,Male,20-25,300-500
618,Yes,1,36 months,Male,20-25,300-500
619,Yes,1,36 months,Male,20-25,300-500
620,Yes,1,36 months,Male,20-25,300-500
621,Yes,1,36 months,Male,20-25,300-500
622,Yes,1,36 months,Male,20-25,300-500
623,Yes,1,36 months,Male,20-25,300-500
624,Yes,1,36 months,Male,20-25,300-500
625,Yes,1,36 months,Male,20-25,300-500
626,Yes,1,36 months,Male,20-25,300-500
627,Yes,1,36 months,Male,20-25,300-500
628,Yes,1,36 months,Male,20-25,300-500
629,Yes,1,36 months,Male,20-25,300-500
630,Yes,1,36 months,Male,20-25,300-500
631,Yes,1,36 months,Male,20-25,300-500
632,Yes,1,36 months,Male,20-25,300-500
633,Yes,1,36 months,Male,20-25,300-500
634,Yes,1,36 months,Male,20-25,300-500
635,Yes,1,36 months,Male,20-25,300-500
636,Yes,1,36 months,Male,20-25,300-500
637,Yes,1,36 months,Male,20-25,300-500
638,Yes,1,36 months,Male,20-25,300-500
639,Yes,1,36 months,Male,20-25,300-500
640,Yes,1,36 months,Male,20-25,300-500
641,Yes,1,36 months,Male,20-25,300-500
642,Yes,1,36 months,Male,20-25,300-500
643,Yes,1,36 months,Male,20-25,300-500
644,Yes,1,36 months,Male,20-25,300-500
645,Yes,1,36 months,Male,20-25,300-500
646,Yes,1,36 months,Male,20-25,300-500
647,Yes,1,36 months,Male,20-25,300-500
648,Yes,1,36 months,Male,20-25,300-500
649,Yes,1,36 months,Male,20-25,300-500
650,Yes,1,36 months,Male,20-25,300-500
651,Yes,1,36 months,Male,20-25,300-500
652,Yes,1,36 months,Male,20-25,300-500
653,Yes,1,36 months,Male,20-25,300-500
654,Yes,1,36 months,Male,20-25,300-500
655,Yes,1,36 months,Male,20-25,300-500
656,Yes,1,36 months,Male,20-25,300-500
657,Yes,1,36 months,Male,20-25,300-500
658,Yes,1,36 months,Male,20-25,300-500
